Phrasal Verb,Definition,Source
go through,to experience difficulty; to examine thoroughly,Built-in
go up,to increase in amount; to be constructed,Built-in
grow on,to become more liked or appreciated over time,Built-in
grow up,to develop from a child into an adult,Built-in
hang on,to wait a moment; to hold something tightly,Built-in
hand in,to submit work or an assignment,Built-in
hang up,to end a phone call; to hang clothing on a hook,Built-in
have on,to be wearing something; to have something planned,Built-in
head off,to intercept; to prevent something from happening,Built-in
hold back,to restrain oneself or someone else; to hesitate,Built-in
hold on,to wait; to grip something tightly,Built-in
hold up,to delay; to rob; to remain strong under pressure,Built-in
hurry up,to move or act more quickly,Built-in
keep away,to stay or make someone stay at a distance,Built-in
keep on,to continue doing something persistently,Built-in
keep up,to maintain the same speed or standard,Built-in
knock out,to make someone unconscious by a blow,Built-in
leave out,to omit or not include something,Built-in
let down,to disappoint someone who trusted you,Built-in
let in,to allow someone to enter a place,Built-in
let out,to release someone; to make a garment larger,Built-in
light up,to illuminate a place; to brighten with happiness,Built-in
line up,to arrange in a row; to queue,Built-in
live up to,to meet expectations or standards set,Built-in
look after,to take care of a person or thing,Built-in
look around,to explore or examine an area,Built-in
look at,to direct one's gaze at something,Built-in
look forward to,to anticipate something with pleasure,Built-in
look into,to investigate or research something,Built-in
look out,to be careful; to watch for danger,Built-in
look up,to search for information; to improve,Built-in
make out,to manage; to understand; to see with difficulty,Built-in
make over,to completely change the appearance of something,Built-in
make up,to invent a story; to reconcile after a quarrel,Built-in
meet up,to meet someone by prior arrangement,Built-in
mix up,to confuse two things; to blend together,Built-in
move on,to stop dwelling on the past and progress forward,Built-in
open up,to become less reserved; to start operating,Built-in
pass out,to faint; to hand something to several people,Built-in
pay back,to repay money or a favour owed,Built-in
pay off,to repay a debt fully; to yield good results,Built-in
phase out,to gradually discontinue something,Built-in
pick up,to collect someone; to learn a skill informally,Built-in
play down,to make something seem less important than it is,Built-in
point out,to draw attention to a fact or problem,Built-in
pull off,to succeed in doing something difficult,Built-in
put away,to store something in its proper place,Built-in
put back,to return something to its original place,Built-in
put down,to place something on a surface; to criticise,Built-in
put off,to postpone; to cause dislike or loss of interest,Built-in
put on,to dress in clothing; to pretend; to gain weight,Built-in
put out,to extinguish a fire; to inconvenience someone,Built-in
put up with,to tolerate something or someone unpleasant,Built-in
read out,to read something aloud to others,Built-in
run away,to flee from a place or person,Built-in
run into,to meet someone unexpectedly,Built-in
run out of,to use all of something so none remains,Built-in
save up,to accumulate money gradually over time,Built-in
set off,to begin a journey; to cause something to start,Built-in
set up,to arrange or establish something,Built-in
show off,to boast about or display something proudly,Built-in
shut down,to stop a machine or operation,Built-in
sort out,to resolve a problem or organise things neatly,Built-in
speed up,to go or do something faster,Built-in
stand out,to be clearly noticeable or better than others,Built-in
step down, to leave a responsability or to resign from a position,Built-in
sum up,to summarise the main points of something,Built-in
take off,to remove clothing; to become suddenly successful,Built-in
talk over,to discuss a problem or a plan with someone before you make a final decision,Built-in
take on, to accept a responsability,Built-in
take over, too get a control,Built-in
turn down,to reject an offer; to lower the volume,Built-in
wear out,to exhaust someone; to make unusable through use,Built-in
work out,to exercise; to calculate; to result successfully,Built-in
